genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Popanoceras,Illyrian,1,3,3,3,2,3,3,37.72749799999999,245.231109,0
Popovites,Spathian,0,11,11,1,3,1,11,24.410004,141.035002,0
Porcellia,Changhsingian,0,4,3,2,2,1,4,6.1080000000000005,2.3613890000000026,0
Portneufia,Spathian,0,1,1,1,1,1,1,0.0,0.0,0
Posidonia,Changhsingian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Griesbachian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Dienerian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Smithian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Spathian,0,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Pelsonian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidonia,Illyrian,1,90,80,11,26,8,90,107.364167,298.01250500000003,0
Posidoniella,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Posidonomya,Changhsingian,1,5,5,2,4,4,5,16.215,95.183999,0
Posidonomya,Griesbachian,0,5,5,2,4,4,5,16.215,95.183999,0
Posidonomya,Spathian,0,5,5,2,4,4,5,16.215,95.183999,0
Praechlamys,Changhsingian,1,42,32,7,5,5,42,20.965000000000003,108.622222,1
Praechlamys,Griesbachian,0,42,32,7,5,5,42,20.965000000000003,108.622222,1
Praechlamys,Spathian,0,42,32,7,5,5,42,20.965000000000003,108.622222,1
Praechlamys,Pelsonian,0,42,32,7,5,5,42,20.965000000000003,108.622222,1
Praedicerocardium,Bithynian,0,1,1,1,1,1,1,0.0,0.0,0
Praeotapiria,Spathian,0,1,1,1,0,1,1,0.0,0.0,0
Praepinacoceras,Pelsonian,1,9,9,2,6,3,9,3.8234980000000007,8.774999999999999,0
Praepinacoceras,Illyrian,1,9,9,2,6,3,9,3.8234980000000007,8.774999999999999,0
Praesibirites,Spathian,0,9,7,2,2,1,9,32.692997,239.480003,0
Praeundulomya,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Predazzella,Illyrian,0,3,2,2,1,1,3,0.10604899999999873,0.1891999999999996,0
Preflorianites,Dienerian,1,55,53,10,11,3,55,22.133998,250.525002,0
Preflorianites,Smithian,1,55,53,10,11,3,55,22.133998,250.525002,0
Preflorianites,Spathian,0,55,53,10,11,3,55,22.133998,250.525002,0
Preflorianitoides,Spathian,0,1,1,1,1,1,1,0.0,0.0,0
Prelissorhynchia,Changhsingian,1,178,148,10,18,2,178,27.834666,108.4847,0
Prelissorhynchia,Griesbachian,0,178,148,10,18,2,178,27.834666,108.4847,0
Prenkites,Smithian,1,25,16,3,4,2,25,52.864166,121.731594,0
Prenkites,Spathian,0,25,16,3,4,2,25,52.864166,121.731594,0
Prionites,Dienerian,1,53,45,7,11,2,53,109.199998,257.336693,0
Prionites,Smithian,0,53,45,7,11,2,53,109.199998,257.336693,0
Prionitidae,Smithian,0,5,5,5,3,1,5,55.140001000000005,223.77427699999998,0
Prionolobus,Changhsingian,1,33,32,8,12,4,33,83.820831,271.525002,0
Prionolobus,Griesbachian,1,33,32,8,12,4,33,83.820831,271.525002,0
Prionolobus,Dienerian,1,33,32,8,12,4,33,83.820831,271.525002,0
Prionolobus,Smithian,0,33,32,8,12,4,33,83.820831,271.525002,0
Proarcestes,Aegean,1,130,111,7,15,5,130,35.571667,230.921661,0
Proarcestes,Bithynian,1,130,111,7,15,5,130,35.571667,230.921661,0
Proarcestes,Pelsonian,1,130,111,7,15,5,130,35.571667,230.921661,0
Proarcestes,Illyrian,1,130,111,7,15,5,130,35.571667,230.921661,0
Proavites,Pelsonian,1,38,35,7,7,2,38,17.673997999999997,80.607391,0
Proavites,Illyrian,0,38,35,7,7,2,38,17.673997999999997,80.607391,0
Procarnites,Spathian,1,57,47,4,12,3,57,88.048835,265.06028000000003,0
Procarnites,Aegean,0,57,47,4,12,3,57,88.048835,265.06028000000003,0
Procladiscites,Spathian,1,27,24,4,13,6,27,22.725557,128.81611700000002,0
Procladiscites,Aegean,1,27,24,4,13,6,27,22.725557,128.81611700000002,0
Procladiscites,Bithynian,1,27,24,4,13,6,27,22.725557,128.81611700000002,0
Procladiscites,Pelsonian,1,27,24,4,13,6,27,22.725557,128.81611700000002,0
Procladiscites,Illyrian,1,27,24,4,13,6,27,22.725557,128.81611700000002,0
Procolumbites,Spathian,0,24,22,3,5,1,24,21.780002999999997,252.96599600000002,0
Procurvoceratites,Smithian,0,6,4,1,0,1,6,0.0,0.0,0
Productida,Changhsingian,1,3,3,3,2,2,3,67.58332999999999,125.85305600000001,0
Productida,Griesbachian,0,3,3,3,2,2,3,67.58332999999999,125.85305600000001,0
Productina,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Productoidea,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Productus,Changhsingian,1,47,23,1,2,2,47,30.260002000000007,62.435002,0
Productus,Griesbachian,0,47,23,1,2,2,47,30.260002000000007,62.435002,0
Proharpoceras,Smithian,0,6,6,4,2,1,6,20.465,74.08667,0
Prohungarites,Spathian,0,26,18,4,8,1,26,54.000002,259.655602,0
