genus,Changhsingian,Griesbachian,Dienerian,Smithian,Spathian,Aegean,Bithynian,Pelsonian,Illyrian,Anisian
Echinauris,1,0,0,0,0,0,0,0,0,0
Edmondia,1,0,0,0,0,0,0,0,0,0
Edriosteges,1,0,0,0,0,0,0,0,0,0
Elegantarca,0,0,0,0,0,0,0,1,0,1
Elegantinia,0,0,0,1,1,0,1,1,0,1
Elimata,1,0,0,0,0,0,0,0,0,0
Eliva,1,0,0,0,0,0,0,0,0,0
Elivina,1,0,0,0,0,0,0,0,0,0
Ellesmerella,0,0,0,1,1,0,0,0,0,1
Emeithyris,0,0,0,0,0,0,0,0,1,0
Enantiostreon,1,1,0,0,0,0,1,1,1,1
Enosolen,0,0,0,0,0,0,0,0,0,1
Ensipteria,1,0,0,0,0,0,0,0,0,0
Enteletella,1,0,0,0,0,0,0,0,0,0
Enteletes,1,0,0,0,0,0,0,0,0,0
Enteletina,1,0,0,0,0,0,0,0,0,0
Enteropleura,0,0,0,0,0,0,0,1,1,1
Entoliidae,1,1,1,0,0,0,0,0,0,0
Entolioides,0,0,1,1,1,0,1,0,0,1
Entolium,1,1,1,1,1,1,1,1,1,1
Eoacrochordiceras,0,0,0,0,1,0,0,0,0,0
Eoastarte,1,0,0,0,0,0,0,0,0,0
Eobuchia,0,0,0,0,1,0,0,0,0,0
Eodanubites,0,0,0,0,1,0,0,0,0,0
Eofrechites,0,0,0,0,0,0,0,0,1,0
Eographis,0,0,1,0,0,0,0,0,0,0
Eogymnites,0,0,0,0,1,1,0,0,0,0
Eogymnotoceras,0,0,0,0,0,0,1,1,1,1
Eolaballa,1,0,0,0,0,0,0,0,0,0
Eolyttonia,1,0,0,0,0,0,0,0,0,0
Eomarginifera,1,0,0,0,0,0,0,0,0,0
Eonathorstites,0,0,0,0,0,0,0,0,0,1
Eopecten,0,0,0,0,0,0,0,0,0,1
Eophilobryoidella,0,0,0,0,0,0,0,1,0,0
Eophyllites,0,0,0,1,1,1,0,0,0,1
Eoprotrachyceras,0,0,0,0,0,0,0,0,1,1
Eoptychites,0,0,0,1,1,0,0,0,0,0
Eosinocerithium,1,0,0,0,0,0,0,0,0,0
Eotomariidae,1,0,0,0,0,0,0,0,0,0
Epiboreoceras,0,0,0,0,1,0,0,0,0,0
Epiceltites,0,0,0,0,1,0,0,0,0,0
Epiceltitoides,0,0,0,0,1,0,0,0,0,0
Epiclaraia,0,0,0,0,1,0,0,0,0,0
Epigymnites,0,0,0,0,0,0,0,1,1,1
Epikellnerites,0,0,0,0,0,0,0,0,1,0
Episageceras,1,1,1,1,0,0,0,0,0,1
Erismatina,1,0,0,0,0,0,0,0,0,0
Erwinispira,1,0,0,0,0,0,0,0,0,0
Escarguelites,0,0,0,1,0,0,0,0,0,0
Eschericeratites,0,0,0,0,1,0,0,0,0,0
Esfahanites,1,0,0,0,0,0,0,0,0,0
Esinoceras,0,0,0,0,0,0,0,0,1,0
Etalia,0,0,0,0,0,0,0,0,0,1
Etheripecten,1,1,0,0,0,0,0,0,0,0
Eucharis,1,0,0,0,0,0,0,0,0,0
Euchondria,1,0,0,0,0,0,0,0,0,0
Euchrysalis,0,0,0,0,0,0,0,0,1,0
Eucochlis,0,1,0,0,0,0,0,0,0,0
Eucycloscala,0,0,0,0,0,0,0,1,0,1
Eucyclus,0,0,0,0,0,0,0,0,0,1
Eudiscoceras,0,0,0,0,0,0,0,0,1,0
Euflemingites,0,0,0,1,1,0,0,0,0,0
Eukashmirites,0,0,0,1,1,0,0,0,0,0
Eumedlicottia,1,0,0,0,0,0,0,0,0,0
Eumorphotis,1,1,1,1,1,0,0,0,1,1
Eunemopsis,1,0,0,0,0,0,0,0,0,1
Euomphalus,1,0,0,0,1,0,0,1,0,1
Euphemites,1,0,0,0,0,0,0,0,0,0
Euphemitinae,1,0,0,0,0,0,0,0,0,0
Euphemus,1,0,0,0,0,0,0,0,0,0
Euryalox,0,0,0,0,0,0,1,0,0,1
Eustylus,0,0,0,0,0,0,0,0,0,1
Euthystylus,1,0,0,0,0,0,0,0,0,0
Eutomoceras,0,0,0,0,0,0,1,0,1,1
Euzone,0,0,0,0,0,0,0,1,0,1
Evenia,1,0,0,0,0,0,0,0,0,0
Evenites,0,0,0,0,1,0,0,0,0,0
Extendilabrum,1,0,0,0,0,0,0,0,0,0
Falafer,1,0,0,0,0,0,0,0,0,0
Falcimytilus,0,0,0,0,0,0,0,0,1,1
Falsanolcites,0,0,0,0,0,0,0,0,1,1
Fasciculiconcha,1,0,0,0,0,0,0,0,0,0
Favreticeras,0,0,0,0,0,0,0,1,0,1
Fengshanites,0,0,0,0,1,0,0,0,0,0
Fiacconella,0,0,0,0,0,0,0,0,1,0
Fiemmespira,0,0,0,0,0,0,0,1,1,1
Flemingites,0,1,1,1,1,0,0,0,0,0
Flemingitidae,0,0,0,1,0,0,0,0,0,0
Fletcherina,0,0,0,0,0,0,0,0,0,1
Flexoptychites,0,0,0,0,0,0,0,1,1,1
Fossariopsis,0,0,0,0,0,0,0,1,0,0
Fostericoncha,1,0,0,0,0,0,0,0,0,0
Frankites,0,0,0,0,0,0,0,0,0,1
Frechites,0,0,0,0,0,0,0,1,1,1
Frechitoides,0,0,0,0,0,0,0,0,1,1
Fredericksolasma,1,0,0,0,0,0,0,0,0,0
Frederikella,0,0,0,0,0,0,0,0,1,0
Fusichonetes,1,1,0,0,0,0,0,0,0,0
Fusiproductus,1,0,0,0,0,0,0,0,0,0
Fusispirifer,1,0,0,0,0,0,0,0,0,0
Fusus,0,0,0,0,0,0,0,0,0,1
Galfettites,0,0,0,1,0,0,0,0,0,0
Galfettitidae,0,0,0,1,0,0,0,0,0,0
Gardenapecten,1,0,0,0,0,0,0,0,0,0
Gastropoda,1,1,1,1,1,1,1,1,1,1
Gaudemerites,0,0,0,0,1,0,0,0,0,0
Gefonia,1,0,0,0,0,0,0,0,0,0
Gerassimovia,1,0,0,0,0,0,0,0,0,0
Gervillaria,0,0,0,1,0,0,1,1,1,1
Gervilleia,0,1,0,0,0,0,0,1,1,1
Gervillella,0,0,0,1,1,0,0,0,0,0
Gervillia,1,1,0,0,1,1,0,1,1,1
Gevanites,0,0,0,0,0,0,0,0,1,0
Geyerella,1,0,0,0,0,0,0,0,0,0
Ghazalaites,0,0,1,0,0,0,0,0,0,0
